GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
product-catalog,org.idvairaz.menu,ProductMenu,646,0,22,0,181,0,26,0,15,0
product-catalog,org.idvairaz.menu,AuthMenu,181,0,16,0,56,0,15,0,6,0
product-catalog,org.idvairaz.menu,UserManagementMenu,478,0,50,0,133,0,38,0,9,0
product-catalog,org.idvairaz.menu,ConsoleMenu,390,0,36,0,116,0,30,0,6,0
product-catalog,org.idvairaz.model,Product,108,100,14,0,12,13,12,21,5,21
product-catalog,org.idvairaz.model,Product.ProductBuilder,25,65,0,0,0,1,2,10,2,10
product-catalog,org.idvairaz.model,User.UserBuilder,17,47,0,2,0,1,2,7,2,6
product-catalog,org.idvairaz.model,User.UserRole,0,21,0,0,0,4,0,1,0,1
product-catalog,org.idvairaz.model,User,108,65,22,0,7,9,20,14,9,14
product-catalog,org.idvairaz.cache.impl,InMemoryCacheService,246,0,4,0,41,0,10,0,8,0
product-catalog,org.idvairaz.cache.impl,ProductCacheServiceImpl,156,0,12,0,37,0,17,0,11,0
product-catalog,org.idvairaz.repository.impl,PostgresAuditRepository,158,0,4,0,47,0,7,0,5,0
product-catalog,org.idvairaz.repository.impl,PostgresUserRepository,247,319,35,21,57,78,27,13,4,8
product-catalog,org.idvairaz.repository.impl,PostgresProductRepository,208,420,30,26,50,103,24,17,3,10
product-catalog,org.idvairaz,App,294,0,0,0,95,0,8,0,8,0
product-catalog,org.idvairaz.service,UserService,196,0,24,0,49,0,25,0,13,0
product-catalog,org.idvairaz.service,ProductService,407,0,14,0,90,0,18,0,11,0
product-catalog,org.idvairaz.service,AuditService,78,0,2,0,19,0,5,0,4,0
product-catalog,org.idvairaz.service,MetricsService,312,0,8,0,66,0,16,0,12,0
product-catalog,org.idvairaz.service,AuthService,219,0,32,0,55,0,32,0,16,0
product-catalog,org.idvairaz.config,DatabaseConfig,137,76,11,1,29,25,12,4,6,4
